Review Name,Review Text
Roy Riachi,"Nice concept, food needs work."
Despoina Kaminari,The food was very good.
Mohamad Sabbah,The wine list was limited and overpriced. Not suitable for a leisurely evening out.
Sam YYC,Food here was good. Really enjoyed the vibe. Service was a little slow. They were busy lots of locals and tourists go here. I will defiently go back on my nest visit.
Elsa Moussallem,"Not a noisy place, the outdoor area is very nice.
Menu is diverse and affordable. I really like their breakfast. Experience was very good, highly recommended"
Abed Faraj,"Very nice atmosphere, good food, friendly customers, A++ overall"
Wael Nuweihed,Cosy and warm environment with delicious food. Service could be slightly better though.
K H,"Echo others comments that it's not obvious to find - it's in the left back corner of the small mall. Worth finding. Lots of locals. Food was good and reasonably priced for Beirut. Chicken livers really great, as was fried cauliflower and eggplant."
Bilal Mousawi,"Service lacked any warmth or friendliness, felt very unwelcome."
Faiezah Shahid,"Very nice environment, quite busy. Food was fresh n tasty. Staff is very corteous. Popular with tourists."
Félix Brassier,"Brilliant restaurant in hamra, Beirut. Nice ambience,  lovely food.  A must"
Güneş Karamullaoğlu,"Lovely place, decent prices, good food, lively atmosphere."
Jaber Shaheen,"Fine place to grab a lunch bite while in Hamra, acceptable prices with friendly staff."
Hadi Khodr,"My number one restaurant in the globe,  situated in hamra street beirut"
Leen Karim,Chicken liver dish was overcooked and tough. Didn't meet the expectations for a Lebanese specialty.
Breta Bujupi,"Everyone said this place was great, but it was meh. Tried lots of dishes, super disappointed."
gypsymermaid 93,"Service was disorganized, waiters seemed confused about orders. The chicken taouk was dry and overcooked."
nada halawi,"Took ages to get the bill, service was very slow. The beef shawarma lacked authentic spices."
Frans de Jonge,Nice courtyard. Nice food. Nice staff.
Tarek Baddour,"They make the best batata harra, all dishes are very good with fair prices.. And the staff are very friendly there"
A D,"Not only is their service great, their food great, and their portions heavy, I happened to catch them performing a humanitarian act rarely seen in today's restaurants...

Good job guys"
Mustafa Shames,"Received our appetizers and main courses at the same time, leading to a cramped table."
Dareen Fostok,"Perfect food, quick service, kind waitresses"
Midwife MAM,"Very great food, nice drinks, lovely place"
HERCULES berg/mann,Very good food and delicious.
kamel zebib,"A place for a quick low-budget social lunch or dinner, an excellent place to meet friends and have a chat listen to nice oriental and sub-culture music. Food is average and economical, priced just a bit over street-food but tasty and generous. Customers are the type that live on the fringes of mainstream society and low budget tourists."
Anthony Zammar,"Extremely disappointing service. Despite placing an order well in advance, the food arrived an hour late, completely ruining my lunch plans. The operator's repeated promises of a 2-minute delay and evasive responses added to the frustration. The lack of transparency and failure to meet the promised delivery time left me thoroughly dissatisfied"
Natheer Halawani,"The best, great food, great ambiance, and wonderful staff."
Antoine Salem,A lovely place with good food and price
khadija Adibelli,"Good place to visit, specially at night. Food are delicious there specially tabboule and shawarma."
Nada Nassar,The staff seemed overwhelmed and couldn't handle the busy atmosphere efficiently.
Moe H,Excellent restaurant and I have to say probably one of the few truly non smoking indoor restaurants. Really appreciated that when there with kids.
David Nourallah,"lebanese restaurant in hamra where you can enjoy tasty dishes in a nice ambience. There are some specialties that were interesting such as the Place hommos with herbs, soujouk and cheese rolls and the garlic coriander chicken"
Wiss S,I love this place!
Gabriella D'Elia,"Great food at very reasonable price, especially for Beirut 😁. …"
Max Crams,very much of an expensive place but still travelers would have a great idea of the lebanese food but not of the prices! a very nice place for some coffee and wifi too :3
Philip Kerr,Really great food and atmosphere
Hind Naim,Extremely disappointed with the fattoush salad; it was soggy and lacked freshness. The noise level in the restaurant made it hard to enjoy the meal.
Ned,Great food. I ordered 10 plates so I can try everything. I recommend egg plant musaqa
Yara Gharbieh,"Smooth ambiance, nice stuff and great lebanese food. Both indoor and outdoor seating available.."
Gizem G.,"I liked this place, very delicious foods and great athmosphere, if i will come beyrut again  exactly prefered :)"
Ghada elkhatib,The place is original and cosy and the food is really yummy
Albert Van den Berg,"Always a great choice. The food has consistent quality over time and a large variety of appetizers, salads and main courses. Batata harra portion is huge, lentil soup is delicious, but my favorite item in their menu is tomato kibbeh. Welcoming outdoor terrace gives it a fresh and authentic vibe. The service was fast on my last visit."
Rabih Ar,"Nice place if you’re into Lebanese mezze in the heart of Beirut. A bit tricky to find for first-timers, but it never hurts to ask for directions ✌️🏻

The food was great, fresh and tasty. We tried the cauliflower and eggplant plate, it was very tasty. The kafta aarayis were a bit dry or overcooked.

All in all its a nice restaurant, the staff are friendly and helpful and the place was clean most importantly."
Simon Rahal,Nice restaurant with a great atmosphere! Feels like your sitting in past-Beirut. Food is great : a modern take on Lebanese dishes. Overall a great place to spend a night with friends.
Alaa,Delicious food and big portion
H A,Unfortunately really really bad experience with the service. The food seems to be good though
Marco Mak,Great food. Great atmosphere. Polite and friendly service.
Zack,A humble cozy place with genuine Lebanese food menu.
cosette maalouf,"Staff was unprofessional, arguing in front of guests. The fattoush salad was wilted, not fresh."
Wissam Hariri,Good food nice outdoor garden good value
Norbert Lesniewicz,"It's like the Secret Garden, it's hard to find but when it opens for you it gives you wonderful food in very cosy ambient. Highly recommended when in Gamra!"
mansour,One of gd destination in hamra..no view a bit crowded yet gd food and gd pricing..near 24/7 and minutes phones shop
Haitham Chehadi,"Clean and delicious
Not that expensive
Service good, accurate , professional and relatively fast and fresh
Atmosphere crowded and a bit noisy
Not for calm or romantic gathering or dates
Noon and afternoons during weekdays best light crowd
Enjoy"
Ms Su,Good food and nice restaurant
